Actual LASK1,Actual LASK2,Actual LASK3,Actual LASK4,Predicted LASK1,Predicted LASK2,Predicted LASK3,Predicted LASK4
5196,5081,4976,5089,5190.2775,5076.189166666667,4978.945666666667,5091.2508333333335
5201,5092,4709,5105,5189.7300000000005,5091.4025,4737.484166666667,5111.287333333334
4072,5048,4989,5096,4243.992,5054.704999999999,5000.315119047619,5101.051166666667
5217,4213,4981,5105,5219.017999999999,4243.036666666667,4986.17,5102.043
5200,5088,4185,5072,5166.1775,4981.474833333334,4638.045833333334,4903.412
5173,4473,4132,4961,5138.285000000001,4497.858333333334,4273.679166666668,4636.395333333334
5180,5089,4992,5108,5180.495833333333,5080.301166666667,4993.8758333333335,5098.25
5197,5077,4992,5101,5188.398,5077.395,4994.776666666667,5091.9243333333325
5029,5088,4996,5104,4977.61,5075.308,4993.831666666666,5103.305666666667
4025,4953,4977,5024,4494.7760714285705,4986.9783333333335,4994.9264523809525,5072.3578333333335
5180,5077,4988,5105,5172.871666666667,5076.6045,4989.525,5096.805773809524
5189,5089,4992,5101,5180.77,5075.6475,4988.515,5087.115
5192,5040,4989,5092,5189.996666666666,5047.036,4978.83,5092.0775
5180,5081,4996,5089,5178.975999999999,5081.3341666666665,4990.760357142857,5102.466666666667
4796,3529,4048,4253,4953.839591269842,4304.821119047619,4416.746428571429,4977.834666666666
4861,5081,4989,5093,4921.739122294372,5085.2908333333335,4993.913111111111,5100.825142857142
5217,4348,5020,5108,5213.501666666667,4782.149333333334,4985.273214285714,5096.014761904762
4865,4876,4953,5045,5042.544047619048,4805.735,4965.693333333333,5064.758333333333
5189,5072,4977,5101,5195.169999999999,5090.010499999999,4852.205833333334,5105.3185
3425,5056,4992,5100,3423.8325,5060.751607142857,5000.631666666667,5100.910416666667
5173,5081,4992,5100,5181.344833333334,5071.367142857143,4984.523285714286,5095.090309523809
5212,4225,4992,5105,5213.8,4287.888333333333,4995.758166666667,5102.458333333334
5184,5080,4992,5096,5179.5725,5078.913333333334,4993.9125,5098.412857142857
5197,5089,4993,5100,5092.33680952381,5072.4439999999995,4992.591166666666,5098.369166666666
5193,5100,4997,4896,5190.062277777778,5083.847333333333,4995.338404761905,4828.1675
5185,5073,4992,5096,5176.219833333334,5078.140666666667,4990.481,5097.525333333333
5225,4225,4993,5093,5216.646166666667,4293.960777777777,4985.314333333333,5085.506833333334
5196,5077,4989,5065,5183.904285714286,5077.732976190476,4995.342999999999,4969.550666666667
5192,5077,4992,5100,5191.112666666666,5077.172500000001,4989.204833333333,5087.729166666666
5180,5084,4989,5089,5178.7091666666665,5066.651666666667,4992.5675,5097.151833333333
4012,5080,4996,5104,4048.1186666666663,5064.752888888888,4998.596222222221,5100.715999999999
5196,5084,5020,4228,5202.276666666667,4898.093333333334,4302.867666666667,4464.505833333333
5181,5077,4992,5104,5180.8825,5076.169999999999,4994.39,5096.361666666667
5193,5064,4925,5101,5178.726333333334,5074.669952380952,4903.908333333334,4812.775833333334
5200,5092,4525,5105,5197.740130952382,5089.564666666667,4412.919333333333,5116.397464285713
5181,5077,4937,5096,5183.437833333333,5075.579333333333,4971.373666666667,4706.037
5224,4232,4980,5109,5223.702583333334,4244.8949523809515,4984.462238095238,5100.541107142857
3564,5072,5000,5108,3711.072166666667,5060.485976190476,5001.243333333333,5101.8251666666665
5196,5084,5005,4976,5197.177000000001,5084.455000000001,5015.728833333334,4256.430904761905
5221,4165,4961,5105,4885.569,4275.1386111111115,4985.498333333333,5104.649523809524
5184,5084,4993,5100,5179.1225,5078.215,4999.38,5098.541666666667
4992,5085,4996,5097,4827.078833333333,5069.008,4993.8575,5099.686888888889
5177,5088,4992,5101,5180.953333333334,5080.189166666667,4991.34,5097.338833333333
5197,5080,5012,4769,5193.219,5080.885928571429,5000.302738095238,4481.991833333334
5204,5081,5021,4201,5193.108083333333,5090.63,5021.850166666667,4236.167238095239
5180,5084,4989,5101,5183.865,5080.413333333334,4989.221666666666,5104.876666666667
5184,5073,4992,5096,5180.251666666667,5076.963333333333,4990.54,5097.680833333334
5189,5084,4992,5048,5185.837333333332,5068.59,4991.4925,5068.8845
5180,5069,4993,5104,5177.866666666666,5073.09,4988.935,5098.527
5192,5073,4981,5100,5190.520333333333,5044.9293333333335,4857.962023809524,5098.170000000001
4384,3896,3753,4160,4413.565357142857,3917.3897619047616,3745.8741666666665,4498.820833333334
5176,5073,4992,5081,5181.210751082251,5075.90015151515,4989.046023809525,5098.683270308123
5189,5069,4992,5089,5189.825833333333,5077.819952380953,4990.5171666666665,5094.875809523809
4829,5041,5000,5093,4259.2175,5058.232547619048,4998.457,5098.267357142858
4888,5084,4997,5092,4783.046666666666,5081.2935,4992.6,5097.983833333333
5173,5088,4997,4901,5180.878571428571,5075.1535952380955,4991.992166666667,4858.990833333333
4824,5041,5000,5108,4448.138515873016,5060.149666666666,4997.593333333333,5102.097166666666
5193,5080,4925,5097,5190.970555860807,5060.596023809524,4560.704333333333,5106.148308053059
5180,5069,4989,5100,5185.42,5067.143333333333,4988.885,5093.06
5173,5081,4992,5100,5179.677333333333,5076.715666666667,4986.5633333333335,5097.801428571428
5200,5076,4932,5005,5194.331,5082.6670476190475,5002.516833333333,4913.843666666667
5193,5076,4984,5096,5189.913333333333,5074.1825,4988.942,5090.782166666667
5181,5072,4988,5085,5166.623380952381,5046.458500000001,4993.058523809525,5086.19975
5180,5049,5000,5104,5188.827333333334,5032.496,4993.8745,5093.202833333333
5196,5084,5012,4420,5194.365,5087.564166666666,5008.097,4691.255
5201,4169,4992,5100,5200.438,4163.99,4980.04,5098.69
4700,5029,4996,5100,4585.0616666666665,5042.280333333332,4996.034500000001,5099.5146428571425
5184,5084,4988,5093,5178.97,5080.484666666667,4987.445,5098.7375
5188,5081,4993,5096,5191.055166666667,5066.6466666666665,4998.073333333334,4992.300976190476
5185,5077,4992,5097,5183.115595238095,5079.676666666667,4989.425714285714,5096.977
5181,5076,4993,5101,5186.63225,5060.41419047619,4967.233,5091.597166666666
5197,4588,5008,5108,5196.412666666667,4925.962166666666,4993.450833333333,5101.480666666667
5192,5084,5012,4372,5187.6928333333335,5084.530333333334,5012.5858333333335,4422.448333333334
5189,5076,4992,5093,5191.120666666667,5077.119333333333,4985.779666666666,5094.353055555555
5177,5068,4924,5112,5189.348336940836,5086.064187590188,4573.8830317460315,5116.23733946609
5192,5085,5017,4492,5194.814523809525,5070.454000000001,5005.184166666667,4789.828333333333
4673,4252,4061,5088,4433.71,4187.04,4097.85,5040.93
5184,5081,4992,5096,5180.0633333333335,5079.486333333333,4973.279559523809,5098.073690476191
5181,5077,4996,5101,5180.654666666666,5076.6748333333335,4980.619999999999,5095.244047619048
5184,5068,4989,5101,5183.48,5077.990833333332,4991.227333333332,5027.567
5181,5069,4989,5093,5158.742333333334,5062.789166666668,4987.95,5064.626833333333
5204,4888,4992,5089,5194.975,4900.406857142857,4996.8865,5044.4611428571425
5181,5081,4980,5096,5182.574666666666,5076.85,4988.031666666667,5084.838333333334
5197,5105,4025,5145,5194.298166666667,5097.861333333333,4212.001333333333,5119.275833333332
5177,5065,4989,5101,5181.961333333334,5078.2716666666665,4983.802142857143,5090.395333333333
5193,5069,5004,4921,5199.019785714286,5063.837547619047,5002.0165,4894.166880952381
5197,5032,4817,5105,5192.978833333334,4851.64,4821.5841666666665,5066.338571428571
5177,5076,5005,4192,5189.285,5035.2475,5007.553333333333,4354.953666666666
5201,5080,4945,5101,5194.635880952381,5065.653386363636,4876.9991666666665,5093.249297619047
5200,5084,4997,5044,5193.895166666666,5075.554666666666,4992.17,5093.142666666667
5176,5073,4965,5089,5179.006666666667,5078.755285714286,4969.36,5094.613047619048
5181,5081,4989,5109,5181.9766666666665,5078.983,4992.366666666667,5099.537142857143
5192,5077,4993,5097,5180.6050000000005,5076.9783333333335,4989.7025,5102.516333333333
5181,5056,5001,5101,5184.487,5040.058999999999,4994.9783333333335,5088.3926666666675
5184,5080,4992,5105,5178.85,5077.9343333333345,4992.012,5007.731333333333
5193,5073,4997,4873,5193.8696666666665,5082.7385476190475,5000.9475,4878.347166666666
5176,5096,4129,5117,5186.433119047618,5103.835,4223.033428571429,5108.61
5044,5085,4992,5093,5137.174682539681,5073.429119047619,4991.534880952381,5099.783
5188,5076,4992,5097,5188.097333333333,5074.6564285714285,4989.970499999999,5094.406
3900,4965,4997,5088,3940.4525,4968.681666666666,5002.763333333333,5073.59
4401,5028,4996,5101,3791.2189285714285,4971.7705,4998.54125,5105.667452380952
5192,5088,4993,5096,5187.4825,5071.4725,4989.081666666666,5093.482619047619
5181,5077,4989,5097,5176.52280952381,5080.7741428571435,4978.652,5096.528571428571
5093,5004,4992,5097,5102.542309523809,4965.1033333333335,4995.470833333333,5099.7967499999995
5089,4853,4757,4805,5020.96,4784.803333333333,4602.055,4708.645
5181,5076,4996,5097,5183.78,5061.855,4990.611,5095.6720000000005
5141,5076,4973,5076,4970.207833333334,4940.901500000001,4842.695666666667,4762.844
5204,5088,4125,5140,5189.576666666666,5096.387333333333,4154.240666666667,5132.867738095239
5172,5092,4989,5096,5182.416333333333,5081.218,5005.322904761904,4914.340976190476
5193,5073,4992,5012,5196.447777777777,5072.918666666667,4997.673,5007.025333333333
5189,5085,5020,4209,5182.377166666667,5078.946357142858,4985.970499999999,4318.683452380953
4076,5073,4992,5104,4178.981666666667,5068.118077922078,4995.467000000001,5095.734571428571
5113,4801,4137,4384,5139.024047619047,4867.710142857143,4454.01280952381,4407.891
4201,5024,5000,5104,3663.048833333333,5049.599714285714,4999.158333333334,5102.617000000001
3441,5040,5000,5108,3601.451738095238,5048.510595238095,4997.700583333333,5101.878928571428
5184,5081,4992,5092,5144.40180952381,5074.380404761905,4992.603023809524,5089.138000000001
4792,5061,5004,5097,4195.65,5064.8730000000005,4998.5935,5102.065166666668
3400,4965,5009,5108,3401.42553968254,4662.765,4994.449801587301,5071.828333333333
5189,5092,4128,5140,5192.6949047619055,5089.108,4219.652333333334,5133.530000000001
5208,5084,4996,5049,5193.179999999999,5078.973678571428,4999.160714285714,4826.6335
5201,5080,4996,4992,5197.534333333333,5081.1308333333345,4785.546333333333,4929.286166666667
5185,5072,4989,5088,5187.6258333333335,5076.415333333334,4988.972,5091.208666666667
5177,5081,4992,5089,5184.580857142857,5080.420642857143,4991.4058690476195,5087.439523809525
5196,5080,5017,4472,5194.418333333333,5077.4368888888885,5020.253333333333,4356.3525
5173,5077,4992,5101,5172.379833333333,5081.568499999999,4992.709166666667,5092.541666666666
5217,4204,4997,5100,5213.905,4268.386666666666,4991.083333333334,5034.634309523809
3809,5073,4997,5101,3969.247761904761,5078.938785714287,4999.586666666666,5100.153142857144
5205,5104,4028,5065,5202.9675,5096.347,4057.4183333333335,5058.062
5193,5077,4984,4293,5190.176785714287,4962.554333333333,5002.882,4698.605666666666
5189,5088,4988,5101,5186.487714285714,5006.353944444444,4991.329571428571,5093.257523809524
5189,5072,4892,5097,5194.2748571428565,5080.417166666667,4858.1,5099.300666666666
5176,5036,4881,4396,5150.173,4663.758452380953,4426.66,4455.018333333333
5185,5072,4992,5096,5190.421666666666,5017.256333333334,4993.881333333333,5093.341666666667
5181,5077,5017,4304,5182.541666666667,5075.144333333334,5002.919928571428,4949.495833333333
5181,5080,4992,5096,5186.091833333334,5047.618,4992.997833333334,5085.875166666666
5153,5081,4989,5092,5130.474166666667,5086.739444444444,4989.535023809524,5102.615833333333
5185,5073,5001,4905,5181.567833333333,5083.475833333333,5001.675,4873.7875
5205,5080,4932,5101,5193.445,5085.3173333333325,4945.33,5100.56319047619
5176,5084,4984,5096,5179.8398333333325,5073.1437056277055,4945.029428571428,5097.669833333333
4569,5045,5000,5100,4904.336611111111,5071.515357142857,4993.117523809524,5099.348166666667
5204,5077,4209,4365,5199.358333333334,5078.805,4469.405,4385.885
5184,5077,4980,5100,5192.874,5079.2283333333335,4937.498666666667,5097.143333333333
5184,5076,4992,5096,5184.1466666666665,5040.879999999999,4996.907666666666,5085.957261904763
5180,5073,4992,5093,5180.260833333333,5072.813666666667,4991.690333333334,5091.4755
3365,5024,5009,5108,3548.1769999999997,5041.755166666667,5003.401666666667,5099.088285714285
5184,5073,4996,4969,5169.501833333332,5081.434166666668,4997.774166666667,4896.929666666666
5172,5093,5020,4205,5195.194523809523,5106.564523809524,5006.459999999999,4494.0233333333335
5076,5077,4992,5096,5078.711083333334,5079.897499999999,4994.950833333333,5099.911666666666
5193,5081,5017,4225,5194.9275,5083.123333333333,5012.86,4161.42
4932,4120,3621,4245,4911.651333333332,4153.744285714286,3800.478071428571,4462.302
5184,5081,4980,5096,5182.474166666668,5044.119166666667,4998.513523809524,4983.5436666666665
5205,4741,4997,5100,5197.9158333333335,4936.439047619047,4996.889357142858,5088.811119047619
5196,5085,4992,4985,5194.712285714286,5081.7380952380945,4949.955333333333,4479.195166666666
5201,4704,5008,5100,5208.346666666666,4437.129166666667,4998.47,4998.03
5180,5048,4992,5097,5187.777166666667,5037.552166666666,4992.476904761905,5097.130722222221
5212,4589,4992,5100,5188.527166666667,4648.861515873016,4992.234333333334,5088.867976190476
